date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:16	151844/151844	---M--	200	added ('OK')	image/jpeg	etag:%221bd8e86937b7e96d4d66bf6273068705%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030256-1.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030256-1.jpg	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
15:06:16	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:18%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10379	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10379	(from https://doj.gov.in/justice-clock/)
15:06:17	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:18%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fjustice-clock%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed1f92	(from https://doj.gov.in/justice-clock/)
15:06:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:17%20GMT	https://doj.gov.in/?p=10370	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/index1b66.html	(from https://doj.gov.in/national-service-and-tracking-of-electronic-processes-nstep/)
15:06:17	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:19%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fjustice-clock%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed.1f09c32.delayed	(from https://doj.gov.in/justice-clock/)
15:06:17	55792/55792	---M--	200	added ('OK')	image/jpeg	etag:%226872a947eb3459a36cbbca4f63b81e77%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030256.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030256.jpg	(from https://doj.gov.in/justice-clock/)
15:06:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2027%20Sep%202024%2009:36:18%20GMT	https://doj.gov.in/?p=10379	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/indexc414.html	(from https://doj.gov.in/justice-clock/)
15:06:18	64484/64484	---M--	200	added ('OK')	image/jpeg	etag:%22a61f2c303c4d004107727a788e7f4bbd%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030251.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030251.jpg	(from https://doj.gov.in/justice-clock/)
15:06:18	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:19%20GMT	https://doj.gov.in/wp-json/wp/v2/pages/10375	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/wp/v2/pages/10375	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
15:06:18	96/96	---M--	401	error ('Unauthorized')	application/json	date:Fri,%2027%20Sep%202024%2009:36:20%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fsecure-scalable-sugamya-website-as-a-service-s3waas%2F	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embedf10f	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
15:06:18	155/155	---M--	401	error ('Unauthorized')	text/xml	date:Fri,%2027%20Sep%202024%2009:36:20%20GMT	https://doj.gov.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoj.gov.in%2Fsecure-scalable-sugamya-website-as-a-service-s3waas%2F&format=xml	C:/Users/chait/OneDrive/Desktop/doj11/doj.gov.in/wp-json/oembed/1.0/embed9179	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
15:06:19	87894/87894	---M--	200	added ('OK')	image/jpeg	etag:%22d23df2fbf1c38ebe45966bfdc07c31c0%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030243.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030243.jpg	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
15:06:19	141949/141949	---M--	200	added ('OK')	image/jpeg	etag:%22bbcdcd062bd288401aa50744729be418%22	https://cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030218.jpg	C:/Users/chait/OneDrive/Desktop/doj11/cdnbbsr.s3waas.gov.in/s35d6646aad9bcc0be55b2c82f69750387/uploads/2022/03/2022030218.jpg	(from https://doj.gov.in/secure-scalable-sugamya-website-as-a-service-s3waas/)
